"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,112741,CME ,00,112 ,   90600,   61158,    2772,      47,   13484,   53527,     153,    8488,   22229,     960,    2745,    4729,      14,   87049,   84431,    3551,    6169,   -1453,   -1021,     230,       4,    1344,     608,     -54,   -2031,   -2397,      20,     366,     154,       0,   -1372,   -1435,     -81,     -18,  100.0,   67.5,    3.1,    0.1,   14.9,   59.1,    0.2,    9.4,   24.5,    1.1,    3.0,    5.2,    0.0,   96.1,   93.2,    3.9,    6.8,     99,      7,.,.,      8,     23,.,     12,     34,      4,      4,      8,.,     34,     73,    57.8,    32.4,    79.0,    49.4,    57.8,    32.4,    79.0,    49.3,"(CONTRACTS OF NZD 100,000)","112741","CME ","112 ","F15","FutOnly"
"NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,112741,CME ,00,112 ,   92053,   62179,    2542,      43,   12140,   52919,     207,   10519,   24626,     940,    2379,    4575,      14,   88421,   85866,    3632,    6187,     -74,    2017,    1496,       2,    -159,     177,      -5,   -2472,   -1912,    -276,     465,       4,       0,    -428,    -514,     354,     440,  100.0,   67.5,    2.8,    0.0,   13.2,   57.5,    0.2,   11.4,   26.8,    1.0,    2.6,    5.0,    0.0,   96.1,   93.3,    3.9,    6.7,    105,      7,.,.,      7,     26,.,     12,     38,      6,      5,      7,.,     37,     79,    55.6,    31.5,    78.0,    48.4,    55.6,    31.3,    77.9,    48.2,"(CONTRACTS OF NZD 100,000)","112741","CME ","112 ","F15","FutOnly"
"NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,112741,CME ,00,112 ,   92127,   60162,    1046,      41,   12299,   52742,     212,   12991,   26538,    1216,    1914,    4571,      14,   88849,   86380,    3278,    5747,    4002,    2059,      27,       2,    1691,    2882,       1,    -486,    1282,     640,    -116,    -315,       0,    3791,    4519,     211,    -517,  100.0,   65.3,    1.1,    0.0,   13.4,   57.2,    0.2,   14.1,   28.8,    1.3,    2.1,    5.0,    0.0,   96.4,   93.8,    3.6,    6.2,    105,      7,.,.,      6,     27,      4,     13,     37,      5,      6,      7,.,     40,     76,    55.0,    31.9,    76.1,    49.4,    55.0,    31.8,    76.0,    49.3,"(CONTRACTS OF NZD 100,000)","112741","CME ","112 ","F15","FutOnly"
"SO AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,122741,CME ,00,122 ,   23232,    4809,     386,     332,    6106,    4669,     803,    6936,   13619,    2327,       0,     451,       0,   21313,   22587,    1919,     645,     695,    1927,     -72,       0,    -713,     876,      60,   -1584,   -1057,    1410,       0,    -111,       0,    1100,    1106,    -405,    -411,  100.0,   20.7,    1.7,    1.4,   26.3,   20.1,    3.5,   29.9,   58.6,   10.0,    0.0,    1.9,    0.0,   91.7,   97.2,    8.3,    2.8,     42,      5,.,.,      4,      8,.,     14,      7,.,      0,.,      0,     26,     22,    51.0,    77.6,    69.4,    86.3,    42.3,    70.2,    60.2,    75.2,"(CONTRACTS OF ZAR 500,000)","122741","CME ","122 ","F15","FutOnly"
"SO AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,122741,CME ,00,122 ,   22537,    2882,     458,     332,    6819,    3793,     743,    8520,   14676,     917,       0,     562,       0,   20213,   21481,    2324,    1056,     144,     682,      18,       0,    -145,     943,     199,    -554,    -905,     155,    -151,    -273,       0,     186,     137,     -42,       7,  100.0,   12.8,    2.0,    1.5,   30.3,   16.8,    3.3,   37.8,   65.1,    4.1,    0.0,    2.5,    0.0,   89.7,   95.3,   10.3,    4.7,     45,      5,.,.,      5,      8,.,     14,      9,      4,      0,.,      0,     27,     25,    51.4,    71.1,    64.5,    80.4,    48.8,    69.9,    61.5,    77.1,"(CONTRACTS OF ZAR 500,000)","122741","CME ","122 ","F15","FutOnly"
"SO AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,122741,CME ,00,122 ,   22393,    2200,     440,     332,    6964,    2850,     544,    9074,   15581,     762,     151,     835,       0,   20027,   21344,    2366,    1049,   -2648,    1635,   -2514,     -47,   -3540,     110,     182,    -750,    -339,     339,    -400,      -6,       0,   -2581,   -2275,     -67,    -373,  100.0,    9.8,    2.0,    1.5,   31.1,   12.7,    2.4,   40.5,   69.6,    3.4,    0.7,    3.7,    0.0,   89.4,   95.3,   10.6,    4.7,     45,      5,.,.,      7,      7,.,     12,      8,      4,.,.,      0,     28,     24,    52.0,    71.2,    65.7,    81.4,    50.1,    70.9,    63.7,    79.1,"(CONTRACTS OF ZAR 500,000)","122741","CME ","122 ","F15","FutOnly"
"DJIA Consolidated - CHICAGO BOARD OF TRADE",250121,2025-01-21,12460+,CBT ,00,124 ,   81691,   33672,   44258,     877,   14249,   11244,    1144,   15674,    9958,    1758,       0,    1372,       0,   67374,   70611,   14317,   11080,     -77,     -61,    1379,     113,    3826,   -2508,    -506,   -1917,     -93,     -92,       0,     793,       0,    1363,    -914,   -1440,     837,  100.0,   41.2,   54.2,    1.1,   17.4,   13.8,    1.4,   19.2,   12.2,    2.2,    0.0,    1.7,    0.0,   82.5,   86.4,   17.5,   13.6,     80,      7,     13,.,     15,      9,      6,     21,     13,      8,      0,.,      0,     52,     45,    51.1,    37.0,    59.1,    56.4,    50.6,    36.4,    58.5,    55.5,"($5 X DJIA INDEX)","12460+","CBT ","124 ","F20","FutOnly"
"DJIA Consolidated - CHICAGO BOARD OF TRADE",250114,2025-01-14,12460+,CBT ,00,124 ,   81768,   33733,   42879,     764,   10423,   13752,    1650,   17591,   10051,    1850,       0,     579,       0,   66011,   71525,   15757,   10243,   -3599,     684,   -5370,     -97,   -2752,    1770,     207,      87,   -1644,     897,   -1047,      12,     -62,   -2083,   -4287,   -1516,     688,  100.0,   41.3,   52.4,    0.9,   12.7,   16.8,    2.0,   21.5,   12.3,    2.3,    0.0,    0.7,    0.0,   80.7,   87.5,   19.3,   12.5,     73,      5,     11,.,     13,      8,      5,     21,     13,      8,      0,.,      0,     48,     40,    49.1,    36.8,    57.6,    56.8,    49.1,    36.2,    57.3,    55.9,"($5 X DJIA INDEX)","12460+","CBT ","124 ","F20","FutOnly"
"DJIA Consolidated - CHICAGO BOARD OF TRADE",250107,2025-01-07,12460+,CBT ,00,124 ,   85367,   33049,   48249,     861,   13175,   11982,    1443,   17504,   11695,     953,    1047,     567,      62,   68094,   75812,   17273,    9555,    1410,     178,    1778,     251,   -1398,   -3620,     861,    1023,    1018,    -106,   -1310,     357,      62,    -439,     601,    1849,     809,  100.0,   38.7,   56.5,    1.0,   15.4,   14.0,    1.7,   20.5,   13.7,    1.1,    1.2,    0.7,    0.1,   79.8,   88.8,   20.2,   11.2,     76,      5,     12,.,     15,      6,      5,     20,     14,      6,.,.,.,     51,     39,    46.6,    39.9,    55.3,    60.0,    46.6,    39.1,    55.2,    58.9,"($5 X DJIA INDEX)","12460+","CBT ","124 ","F20","FutOnly"
"DJIA x $5 - CHICAGO BOARD OF TRADE",250121,2025-01-21,124603,CBT ,00,124 ,   81691,   33672,   44258,     877,   14249,   11244,    1144,   15674,    9958,    1758,       0,    1372,       0,   67374,   70611,   14317,   11080,     -77,     -61,    1379,     113,    3826,   -2508,    -506,   -1917,     -93,     -92,       0,     793,       0,    1363,    -914,   -1440,     837,  100.0,   41.2,   54.2,    1.1,   17.4,   13.8,    1.4,   19.2,   12.2,    2.2,    0.0,    1.7,    0.0,   82.5,   86.4,   17.5,   13.6,     80,      7,     13,.,     15,      9,      6,     21,     13,      8,      0,.,      0,     52,     45,    51.1,    37.0,    59.1,    56.4,    50.6,    36.4,    58.5,    55.5,"($5 X DJIA INDEX)","124603","CBT ","124 ","F20","FutOnly"
"DJIA x $5 - CHICAGO BOARD OF TRADE",250114,2025-01-14,124603,CBT ,00,124 ,   81768,   33733,   42879,     764,   10423,   13752,    1650,   17591,   10051,    1850,       0,     579,       0,   66011,   71525,   15757,   10243,   -3599,     684,   -5370,     -97,   -2752,    1770,     207,      87,   -1644,     897,   -1047,      12,     -62,   -2083,   -4287,   -1516,     688,  100.0,   41.3,   52.4,    0.9,   12.7,   16.8,    2.0,   21.5,   12.3,    2.3,    0.0,    0.7,    0.0,   80.7,   87.5,   19.3,   12.5,     73,      5,     11,.,     13,      8,      5,     21,     13,      8,      0,.,      0,     48,     40,    49.1,    36.8,    57.6,    56.8,    49.1,    36.2,    57.3,    55.9,"($5 X DJIA INDEX)","124603","CBT ","124 ","F20","FutOnly"
"DJIA x $5 - CHICAGO BOARD OF TRADE",250107,2025-01-07,124603,CBT ,00,124 ,   85367,   33049,   48249,     861,   13175,   11982,    1443,   17504,   11695,     953,    1047,     567,      62,   68094,   75812,   17273,    9555,    1410,     178,    1778,     251,   -1398,   -3620,     861,    1023,    1018,    -106,   -1310,     357,      62,    -439,     601,    1849,     809,  100.0,   38.7,   56.5,    1.0,   15.4,   14.0,    1.7,   20.5,   13.7,    1.1,    1.2,    0.7,    0.1,   79.8,   88.8,   20.2,   11.2,     76,      5,     12,.,     15,      6,      5,     20,     14,      6,.,.,.,     51,     39,    46.6,    39.9,    55.3,    60.0,    46.6,    39.1,    55.2,    58.9,"($5 X DJIA INDEX)","124603","CBT ","124 ","F20","FutOnly"
"DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE",250121,2025-01-21,124606,CBT ,00,124 ,   55282,    8567,   40647,       0,   38870,    8100,     746,    3724,    3816,       0,       0,    1135,       0,   51907,   54444,    3375,     838,   -2532,    -282,   -3476,       0,   -1660,     589,       0,    -395,     321,       0,       0,       0,       0,   -2337,   -2566,    -195,      34,  100.0,   15.5,   73.5,    0.0,   70.3,   14.7,    1.3,    6.7,    6.9,    0.0,    0.0,    2.1,    0.0,   93.9,   98.5,    6.1,    1.5,     44,      6,      7,      0,     23,.,.,.,.,      0,      0,.,      0,     31,     16,    33.6,    70.2,    55.8,    91.4,    32.4,    70.2,    54.4,    91.4,"($100 X DJ US REAL ESTATE INDEX)","124606","CBT ","124 ","F20","FutOnly"
"DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE",250114,2025-01-14,124606,CBT ,00,124 ,   57814,    8849,   44123,       0,   40530,    7511,     746,    4119,    3495,       0,       0,    1135,       0,   54244,   57010,    3570,     804,   -1777,     -72,   -2713,       0,   -2233,     -14,     -70,     209,     193,      -8,       0,    1135,       0,   -2174,   -1477,     397,    -300,  100.0,   15.3,   76.3,    0.0,   70.1,   13.0,    1.3,    7.1,    6.0,    0.0,    0.0,    2.0,    0.0,   93.8,   98.6,    6.2,    1.4,     45,      6,      7,      0,     24,.,.,.,.,      0,      0,.,      0,     32,     16,    32.0,    66.7,    54.5,    90.3,    31.3,    66.7,    53.2,    90.3,"($100 X DJ US REAL ESTATE INDEX)","124606","CBT ","124 ","F20","FutOnly"
"DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE",250107,2025-01-07,124606,CBT ,00,124 ,   59591,    8921,   46836,       0,   42763,    7525,     816,    3910,    3302,       8,       0,       0,       0,   56418,   58487,    3173,    1104,    2641,    2938,    2091,       0,     340,     488,     -35,    -348,     206,       4,       0,       0,       0,    2899,    2754,    -258,    -113,  100.0,   15.0,   78.6,    0.0,   71.8,   12.6,    1.4,    6.6,    5.5,    0.0,    0.0,    0.0,    0.0,   94.7,   98.1,    5.3,    1.9,     45,      6,      7,      0,     26,.,.,.,.,.,      0,      0,      0,     34,     15,    29.8,    66.5,    52.7,    90.8,    29.0,    66.5,    51.6,    90.8,"($100 X DJ US REAL ESTATE INDEX)","124606","CBT ","124 ","F20","FutOnly"
"S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,13874+,CME ,00,138 , 2048587,  148958,  911235,   26634, 1115968,  180614,  108602,  136276,  526690,   33036,  186266,  104822,    6515, 1762255, 1898148,  286332,  150439,   -8443,   11253,  -16733,  -14067,    -375,   -7221,   -3808,  -14551,   75119,  -21032,   23105,  -11571,     767,  -18707,    1454,   10264,   -9896,  100.0,    7.3,   44.5,    1.3,   54.5,    8.8,    5.3,    6.7,   25.7,    1.6,    9.1,    5.1,    0.3,   86.0,   92.7,   14.0,    7.3,    431,     24,     36,     23,    160,     42,     90,     61,     71,     56,     23,     13,      4,    336,    268,    11.1,    27.3,    19.5,    37.8,    10.9,    26.9,    18.7,    37.3,"(S&P 500 INDEX X $50.00)","13874+","CME ","138 ","F20","FutOnly"
"S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,13874+,CME ,00,138 , 2057030,  137705,  927968,   40701, 1116343,  187836,  112410,  150826,  451571,   54068,  163161,  116393,    5749, 1780962, 1896695,  276068,  160335,  -24873,   -2604,  -13285,    2884,  -42557,   23234,   10934,     901,  -39169,   10194,    5538,  -12128,   -3489,  -18199,  -20825,   -6674,   -4048,  100.0,    6.7,   45.1,    2.0,   54.3,    9.1,    5.5,    7.3,   22.0,    2.6,    7.9,    5.7,    0.3,   86.6,   92.2,   13.4,    7.8,    443,     22,     39,     24,    159,     42,     87,     67,     73,     52,     23,     17,      5,    336,    275,    10.7,    28.2,    19.0,    39.3,    10.4,    27.5,    18.2,    38.4,"(S&P 500 INDEX X $50.00)","13874+","CME ","138 ","F20","FutOnly"
"S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,13874+,CME ,00,138 , 2081903,  140308,  941253,   37817, 1158900,  164602,  101476,  149925,  490740,   43874,  157623,  128522,    9237, 1799161, 1917520,  282742,  164383,   12831,   -7009,  -16549,    5202,    -619,   -8952,     885,   -2075,   13004,   10543,   10086,   -6335,    5514,   22528,    3312,   -9697,    9519,  100.0,    6.7,   45.2,    1.8,   55.7,    7.9,    4.9,    7.2,   23.6,    2.1,    7.6,    6.2,    0.4,   86.4,   92.1,   13.6,    7.9,    437,     25,     37,     20,    161,     40,     86,     64,     71,     52,     21,     17,      4,    333,    266,    10.5,    28.8,    18.4,    39.4,    10.1,    28.2,    17.6,    38.8,"(S&P 500 INDEX X $50.00)","13874+","CME ","138 ","F20","FutOnly"
"E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,138748,CME ,00,138 ,   27888,   21957,    2080,       0,    2799,   23409,     512,     975,     376,       0,       0,       0,       0,   26243,   26377,    1645,    1511,    1595,    1839,       3,       0,     525,    1331,       0,    -528,     146,       0,       0,       0,       0,    1836,    1480,    -241,     115,  100.0,   78.7,    7.5,    0.0,   10.0,   83.9,    1.8,    3.5,    1.3,    0.0,    0.0,    0.0,    0.0,   94.1,   94.6,    5.9,    5.4,     26,      8,.,      0,      5,      9,.,.,.,      0,      0,      0,      0,     14,     13,    67.3,    71.0,    86.8,    87.1,    67.3,    71.0,    85.6,    87.1,"($100 x S&P Select Sector Consumer Staples Index price)","138748","CME ","138 ","F20","FutOnly"
"E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,138748,CME ,00,138 ,   26293,   20118,    2077,       0,    2274,   22078,     512,    1503,     230,       0,       0,       0,       0,   24407,   24897,    1886,    1396,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,  100.0,   76.5,    7.9,    0.0,    8.6,   84.0,    1.9,    5.7,    0.9,    0.0,    0.0,    0.0,    0.0,   92.8,   94.7,    7.2,    5.3,     23,      7,.,      0,.,      8,.,.,.,      0,      0,      0,      0,     12,     12,    67.2,    75.1,    88.1,    89.2,    67.2,    75.1,    86.5,    89.1,"($100 x S&P Select Sector Consumer Staples Index price)","138748","CME ","138 ","F20","FutOnly"
"E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,138749,CME ,00,138 ,   12746,    4154,    8925,       0,    5826,     253,       0,       0,    2244,       0,       0,       0,       0,    9980,   11422,    2766,    1324,     112,     -28,     381,       0,     -27,    -401,       0,       0,     259,       0,       0,       0,       0,     -55,     239,     167,    -127,  100.0,   32.6,   70.0,    0.0,   45.7,    2.0,    0.0,    0.0,   17.6,    0.0,    0.0,    0.0,    0.0,   78.3,   89.6,   21.7,   10.4,     20,.,      7,      0,      4,.,      0,      0,      5,      0,      0,      0,      0,      7,     13,    64.8,    60.4,    78.3,    76.5,    64.8,    60.4,    78.3,    76.5,"($100 x S&P Select Sector Energy Index price)","138749","CME ","138 ","F20","FutOnly"
"E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,138749,CME ,00,138 ,   12634,    4182,    8544,       0,    5853,     654,       0,       0,    1985,       0,       0,       0,       0,   10035,   11183,    2599,    1451,   -5930,   -6036,    1668,       0,      49,   -7732,       0,       0,      11,       0,       0,       0,       0,   -5987,   -6053,      57,     123,  100.0,   33.1,   67.6,    0.0,   46.3,    5.2,    0.0,    0.0,   15.7,    0.0,    0.0,    0.0,    0.0,   79.4,   88.5,   20.6,   11.5,     20,.,      6,      0,      5,.,      0,      0,      4,      0,      0,      0,      0,      8,     12,    65.5,    60.5,    79.4,    77.3,    65.5,    60.5,    79.4,    77.3,"($100 x S&P Select Sector Energy Index price)","138749","CME ","138 ","F20","FutOnly"
"E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,138749,CME ,00,138 ,   18564,   10218,    6876,       0,    5804,    8386,       0,       0,    1974,       0,       0,       0,       0,   16022,   17236,    2542,    1328,     422,     -16,     760,       0,      80,    -423,       0,       0,    -105,       0,       0,       0,       0,      64,     232,     358,     190,  100.0,   55.0,   37.0,    0.0,   31.3,   45.2,    0.0,    0.0,   10.6,    0.0,    0.0,    0.0,    0.0,   86.3,   92.8,   13.7,    7.2,     20,      4,      5,      0,      4,.,      0,      0,      4,      0,      0,      0,      0,      8,     12,    69.9,    73.7,    86.3,    85.1,    69.9,    73.7,    86.3,    85.1,"($100 x S&P Select Sector Energy Index price)","138749","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,13874A,CME ,00,138 , 2036469,  148421,  911235,   26634, 1113434,  180701,  108467,  138324,  525999,   28921,  186430,  104822,    6351, 1756982, 1893130,  279487,  143339,   -7621,   11471,  -16733,  -14067,     204,   -6937,   -3826,  -13219,   77091,  -23285,   23269,  -11750,     781,  -18672,    1274,   11051,   -8895,  100.0,    7.3,   44.7,    1.3,   54.7,    8.9,    5.3,    6.8,   25.8,    1.4,    9.2,    5.1,    0.3,   86.3,   93.0,   13.7,    7.0,    424,     23,     36,     23,    159,     42,     90,     59,     68,     52,     23,     13,      4,    329,    264,    11.2,    27.5,    19.6,    38.0,    11.0,    27.0,    18.9,    37.5,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,13874A,CME ,00,138 , 2044090,  136950,  927968,   40701, 1113230,  187638,  112293,  151543,  448908,   52206,  163161,  116572,    5570, 1775654, 1891856,  268436,  152234,  -25169,   -2771,  -13285,    2884,  -42699,   23430,   11053,     417,  -40712,   10968,    5538,  -12146,   -3471,  -18081,  -21279,   -7088,   -3890,  100.0,    6.7,   45.4,    2.0,   54.5,    9.2,    5.5,    7.4,   22.0,    2.6,    8.0,    5.7,    0.3,   86.9,   92.6,   13.1,    7.4,    434,     21,     39,     24,    158,     42,     87,     64,     69,     48,     23,     17,      5,    329,    269,    10.8,    28.4,    19.1,    39.5,    10.5,    27.7,    18.3,    38.7,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,13874A,CME ,00,138 , 2069259,  139721,  941253,   37817, 1155929,  164208,  101240,  151126,  489620,   41238,  157623,  128718,    9041, 1793735, 1913135,  275524,  156124,   10611,   -7095,  -16549,    5202,   -1595,   -9253,     892,    -281,   13606,    8019,   10086,   -6261,    5440,   20668,    1096,  -10057,    9515,  100.0,    6.8,   45.5,    1.8,   55.9,    7.9,    4.9,    7.3,   23.7,    2.0,    7.6,    6.2,    0.4,   86.7,   92.5,   13.3,    7.5,    425,     23,     37,     20,    159,     39,     84,     61,     67,     49,     21,     17,      4,    323,    259,    10.6,    29.0,    18.5,    39.7,    10.1,    28.4,    17.7,    39.0,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,13874C,CME ,00,138 ,   67665,   30891,   64617,       0,   31217,     304,       0,    1213,    1241,     423,       0,       0,       0,   63744,   66585,    3921,    1080,     979,      12,    1873,       0,     408,    -824,       0,     165,    -211,       0,       0,       0,       0,     585,     838,     394,     141,  100.0,   45.7,   95.5,    0.0,   46.1,    0.4,    0.0,    1.8,    1.8,    0.6,    0.0,    0.0,    0.0,   94.2,   98.4,    5.8,    1.6,     40,      6,      9,      0,     18,.,      0,.,.,.,      0,      0,      0,     28,     13,    53.7,    78.2,    78.3,    95.0,    53.7,    78.2,    78.3,    95.0,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,13874C,CME ,00,138 ,   66686,   30879,   62744,       0,   30809,    1128,       0,    1048,    1452,     423,       0,       0,       0,   63159,   65747,    3527,     939,    1721,    -634,     561,       0,    5113,     910,       0,       0,     157,       0,       0,       0,       0,    4479,    1628,   -2758,      93,  100.0,   46.3,   94.1,    0.0,   46.2,    1.7,    0.0,    1.6,    2.2,    0.6,    0.0,    0.0,    0.0,   94.7,   98.6,    5.3,    1.4,     41,      6,      9,      0,     17,.,      0,.,      4,.,      0,      0,      0,     27,     15,    54.5,    78.5,    79.8,    93.7,    54.5,    78.5,    79.8,    93.7,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,13874C,CME ,00,138 ,   64965,   31513,   62183,       0,   25696,     218,       0,    1048,    1295,     423,       0,       0,       0,   58680,   64119,    6285,     846,    2372,   -5560,    2496,       0,    4739,       0,       0,    -103,     -22,       0,       0,       0,       0,    -924,    2474,    3296,    -102,  100.0,   48.5,   95.7,    0.0,   39.6,    0.3,    0.0,    1.6,    2.0,    0.7,    0.0,    0.0,    0.0,   90.3,   98.7,    9.7,    1.3,     38,      6,      8,      0,     17,.,      0,.,.,.,      0,      0,      0,     27,     12,    55.2,    78.7,    75.5,    96.3,    55.2,    78.7,    75.5,    96.3,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P MATERIALS INDEX - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,13874H,CME ,00,138 ,   14745,    5536,    8208,       0,    8648,    3932,       0,       0,    1187,       0,       0,       0,       0,   14184,   13327,     561,    1418,    -185,    -100,     961,       0,      -4,   -1115,       0,       0,    -210,       0,       0,       0,       0,    -104,    -364,     -81,     179,  100.0,   37.5,   55.7,    0.0,   58.7,   26.7,    0.0,    0.0,    8.1,    0.0,    0.0,    0.0,    0.0,   96.2,   90.4,    3.8,    9.6,     21,      6,      5,      0,.,      5,      0,      0,.,      0,      0,      0,      0,      9,     12,    82.0,    64.6,    94.8,    80.7,    82.0,    64.6,    94.8,    80.7,"($100 x S&P Select Sector Materials Index price)","13874H","CME ","138 ","F20","FutOnly"
"E-MINI S&P MATERIALS INDEX - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,13874H,CME ,00,138 ,   14930,    5636,    7247,       0,    8652,    5047,       0,       0,    1397,       0,       0,       0,       0,   14288,   13691,     642,    1239,    1636,    -902,    1953,       0,    2526,     -49,       0,       0,    -350,       0,       0,       0,       0,    1624,    1554,      12,      82,  100.0,   37.7,   48.5,    0.0,   58.0,   33.8,    0.0,    0.0,    9.4,    0.0,    0.0,    0.0,    0.0,   95.7,   91.7,    4.3,    8.3,     22,      6,      5,      0,.,      6,      0,      0,.,      0,      0,      0,      0,      9,     13,    81.1,    57.4,    94.3,    78.1,    81.1,    57.4,    94.3,    78.1,"($100 x S&P Select Sector Materials Index price)","13874H","CME ","138 ","F20","FutOnly"
